"","title","year","length","budget","rating","votes","mpaa","genre"
"195565","Frusna leoparden, Den",1986,97,NA,4,19,"","Drama"
"195570","Fu rong zhen",1984,164,NA,7.6,64,"","Drama"
"195572","Fuchs von Paris, Der",1957,98,NA,7.6,5,"","Drama"
"195573","Fuck Hamlet",1996,83,NA,6.2,16,"","Drama"
"195579","Fuckland",2000,84,NA,5,127,"","Drama"
"195582","Fuego",1969,81,NA,6.1,35,"","Drama"
"195586","Fueling the Fire",2002,22,NA,7.7,17,"","Drama"
"195589","Fuete",1986,100,NA,7.7,5,"","Drama"
"195593","Fuga de cerebros",1998,95,NA,7.3,40,"","Drama"
"195595","Fuga, La",2001,117,NA,6.8,135,"","Drama"
"195596","Fuggiasco, Il",2003,97,NA,6.8,28,"","Drama"
"195598","Fugitifs, Les",1986,95,NA,6.8,414,"","Drama"
"195599","Fugitivas",2000,98,NA,7,63,"","Drama"
"195600","Fugitive From Justice, A",1940,53,NA,4.9,27,"","Drama"
"195601","Fugitive Kind, The",1959,119,NA,6.7,339,"","Drama"
"195602","Fugitive Love",1991,15,NA,7.2,12,"","Drama"
"195603","Fugitive Lovers",1934,82,NA,6.7,24,"","Drama"
"195604","Fugitive in the Sky",1936,58,NA,6.2,22,"","Drama"
"195605","Fugitive, The",1910,17,NA,4.5,19,"","Drama"
"195606","Fugitive, The",1947,104,NA,6.6,264,"","Drama"
"195607","Fugitive, The",1993,130,44000000,7.7,48292,"","Drama"
"195610","Fugueuses",1995,95,NA,7,14,"","Drama"
"195614","Fukai kawa",1995,130,NA,7.5,12,"","Drama"
"195615","Fukkatsu no hi",1980,108,16000000,5.7,140,"","Drama"
"195623","Full",2001,16,NA,8,5,"","Drama"
"195625","Full Blast",1999,95,NA,5.4,64,"","Drama"
"195626","Full Circle",1977,98,NA,5.8,117,"","Drama"
"195628","Full Confession",1939,73,NA,5.6,20,"","Drama"
"195632","Full Frontal",2002,101,2000000,5,3056,"R","Drama"
"195634","Full Metal Jacket",1987,116,30000000,8.2,47757,"","Drama"
"195637","Full Moon in Blue Water",1988,95,NA,5.1,183,"","Drama"
"195639","Full Treatment, The",1961,93,NA,5,5,"","Drama"
"195640","Full of Life",1957,91,NA,6.1,54,"","Drama"
"195644","Fun",1994,105,NA,7.3,433,"","Drama"
"195646","Fun Down There",1988,89,NA,5.5,33,"","Drama"
"195651","Fune wo oritara kanojo no shima",2003,112,NA,8,5,"","Drama"
"195653","Funeral de los dedos, El",2000,7,NA,9.2,12,"","Drama"
"195655","Funeral in Berlin",1966,102,NA,6.5,500,"","Drama"
"195656","Funeral, The",1996,99,NA,6.1,1586,"R","Drama"
"195657","Funes, un gran amor",1993,110,NA,3.8,17,"","Drama"
"195669","Funny Farm, The",1983,94,NA,4.4,21,"","Drama"
"195670","Funny Games",1997,108,NA,7.2,2827,"","Drama"
"195671","Funny Girl",1968,155,14100000,7,1782,"","Drama"
"195672","Funny Ha Ha",2003,85,NA,6.2,95,"","Drama"
"195673","Funny Lady",1975,136,NA,5.7,541,"","Drama"
"195676","Funny Money",1982,97,NA,5.3,10,"","Drama"
"195680","Funnyman",1967,102,NA,5.8,6,"","Drama"
"195682","Fuoco (la favilla - la vampa - la cenere), Il",1916,45,NA,8.4,9,"","Drama"
"195683","Fuon",2004,106,NA,5.5,6,"","Drama"
"195684","Fuori dal mondo",1999,100,NA,7.5,279,"","Drama"
"195688","Fureur",2003,107,NA,5.3,62,"","Drama"
"195689","Furia",1999,90,NA,5.2,50,"","Drama"
"195692","Furia, La",1997,105,NA,4.3,30,"","Drama"
"195694","Furin kazan",1969,165,NA,6.7,35,"","Drama"
"195697","Further Gesture, A",1997,96,NA,4.8,128,"R","Drama"
"195701","Furtivos",1975,99,NA,7.9,69,"","Drama"
"195703","Fury",1936,90,NA,7.6,1110,"","Drama"
"195708","Fury in the Shaolin Temple",1979,83,NA,6.1,14,"","Drama"
"195715","Futei no kisetsu",2000,88,NA,6,23,"","Drama"
"195724","Future Murder",2000,92,NA,6.4,51,"R","Drama"
"195732","Fuzis, Os",1964,80,NA,8.2,55,"","Drama"
"195733","Fuzz",1972,92,NA,5.3,189,"","Drama"
"195737","Fylakes anilikon",1982,100,NA,5.7,23,"","Drama"
"195739","Fyra kvinnor",2001,94,NA,5.6,25,"","Drama"
"195740","Fyra nyanser av brunt",2004,192,NA,7.6,567,"","Drama"
"195743","G",2002,96,NA,7.9,15,"R","Drama"
"195755","G.I. Jane",1997,124,50000000,5.5,9116,"","Drama"
"195761","G:MT Greenwich Mean Time",1999,117,NA,6.2,162,"","Drama"
"195766","Gaav",1969,100,NA,7.6,55,"","Drama"
"195767","Gaayam",1993,140,NA,7.1,10,"","Drama"
"195768","Gabbeh",1996,73,NA,7.3,432,"","Drama"
"195772","Gable and Lombard",1976,131,NA,4.4,109,"","Drama"
"195774","Gabriel & Me",2001,87,NA,5,37,"","Drama"
"195776","Gabriel Over the White House",1933,102,NA,6.4,145,"","Drama"
"195781","Gabrielle",1954,90,NA,5.7,9,"","Drama"
"195782","Gabrielle",2001,15,NA,6.1,8,"","Drama"
"195786","Gaby",1956,96,NA,6,73,"","Drama"
"195787","Gaby: A True Story",1987,110,NA,7.4,161,"","Drama"
"195790","Gacy",2003,88,NA,4.8,409,"","Drama"
"195793","Gadar: Ek Prem Katha",2001,170,NA,6.7,130,"","Drama"
"195794","Gaden",2003,18,NA,2.8,6,"","Drama"
"195795","Gadjo dilo",1997,102,NA,7,881,"","Drama"
"195807","Gaichu",2001,92,NA,6.8,72,"","Drama"
"195810","Gaja Gamini",2000,122,NA,6.3,31,"","Drama"
"195811","Gakko",1993,128,NA,7.6,17,"","Drama"
"195812","Gakko II",1996,122,NA,7.4,19,"","Drama"
"195813","Gakko III",1998,133,NA,6.5,8,"","Drama"
"195816","Gal Young 'Un",1979,105,94000,5.7,36,"","Drama"
"195834","Galia",1966,105,NA,6.2,12,"","Drama"
"195835","Galileo",1969,105,NA,5.8,24,"","Drama"
"195836","Galileo",1975,145,NA,6.1,50,"","Drama"
"195838","Galindez File, The",2003,125,NA,5.4,59,"","Drama"
"195841","Gallant Bess",1947,100,NA,6.3,39,"","Drama"
"195842","Gallant Blade, The",1948,81,NA,6.1,8,"","Drama"
"195843","Gallant Hours, The",1960,115,NA,6.8,159,"","Drama"
"195844","Gallant Journey",1946,85,NA,6.1,23,"","Drama"
"195845","Gallant Lady",1933,84,NA,7.2,13,"","Drama"
"195850","Gallipoli",1981,110,NA,7.6,6278,"","Drama"
"195854","Gallo de oro, El",1964,105,NA,9.3,21,"","Drama"
"195859","Gam gai",2002,106,NA,7.5,158,"","Drama"
"195868","Gambler, The",1974,111,NA,6.6,340,"","Drama"
"195869","Gambler, The",1997,97,NA,6.4,99,"R","Drama"
"195870","Gamblers, The",1970,93,NA,6,7,"","Drama"
"195871","Gambling House",1951,80,NA,5.9,22,"","Drama"
"195872","Gambling Lady",1934,66,NA,6.3,57,"","Drama"
"195874","Gambling Ship",1933,72,NA,3.8,14,"","Drama"
"195876","Game Day",1999,106,NA,4.7,83,"R","Drama"
"195878","Game for Vultures, A",1979,113,NA,4.1,40,"","Drama"
"195879","Game of Death",1978,35,NA,5.3,1416,"","Drama"
"195881","Game of Their Lives, The",2005,101,20000000,6.4,125,"PG","Drama"
"195885","Gamekeeper, The",1980,84,NA,6.4,16,"","Drama"
"195895","Games of Desire",1990,80,NA,3.5,18,"","Drama"
"195896","Games, The",1970,100,NA,5.5,60,"","Drama"
"195898","Gamitan",2002,115,NA,5.7,12,"","Drama"
"195900","Gamlet",1964,140,NA,8.3,184,"","Drama"
"195905","Gan",1953,104,NA,7.4,20,"","Drama"
"195907","Gan no tera",1962,98,NA,7,7,"","Drama"
"195908","Gan, Ha-",1977,90,NA,6,14,"","Drama"
"195909","Ganashatru",1989,99,NA,6.3,34,"","Drama"
"195914","Gandhi",1982,188,22000000,8,15879,"","Drama"
"195918","Gang Busters",1954,74,NA,4.8,13,"","Drama"
"195920","Gang Tapes",2001,91,NA,5.7,194,"R","Drama"
"195923","Gang War",1958,75,NA,5.8,45,"","Drama"
"195925","Gang Warz",2004,97,NA,6,19,"","Drama"
"195927","Gang in Blue",1996,97,NA,5.3,151,"R","Drama"
"195928","Gang of Roses",2003,94,NA,2.6,87,"R","Drama"
"195931","Gang, Le",1977,105,NA,5.6,109,"","Drama"
"195932","Ganga Bruta",1933,76,NA,7.6,21,"","Drama"
"195933","Ganga Zumba",1963,100,NA,6.6,8,"","Drama"
"195934","Gangaajal",2003,150,NA,7.1,39,"","Drama"
"195935","Gangland",1998,97,NA,5.2,15,"","Drama"
"195939","Gangs of New York",2002,166,97000000,7.3,34808,"R","Drama"
"195940","Gangs of New York, The",1938,67,NA,6.1,9,"","Drama"
"195944","Gangster No. 1",2000,103,NA,6.5,1730,"R","Drama"
"195945","Gangster Story",1960,65,75000,4.5,23,"","Drama"
"195946","Gangster Wars",1981,121,NA,5.2,28,"","Drama"
"195947","Gangster's Den, The",1945,55,NA,4.8,12,"","Drama"
"195948","Gangster, The",1947,84,NA,6.5,28,"","Drama"
"195954","Gangway for Tomorrow",1943,69,NA,5.2,24,"","Drama"
"195955","Ganhar a Vida",2001,115,NA,7,24,"","Drama"
"195967","Garage Days",2002,106,6000000,5.6,597,"R","Drama"
"195968","Garage Olimpo",1999,98,NA,7.3,411,"","Drama"
"195971","Garam Hawa",1973,146,NA,7.2,23,"","Drama"
"195973","Garazh",1979,101,NA,7.8,193,"","Drama"
"195976","Garbo Talks",1984,103,NA,6.1,203,"","Drama"
"195985","Garden State",2004,109,2500000,8.1,23814,"R","Drama"
"195986","Garden of Allah, The",1936,79,2200000,6.2,139,"","Drama"
"195988","Garden of Earthly Delights, The",2004,103,NA,7.9,14,"","Drama"
"195989","Garden of Eden",1955,67,NA,4.6,7,"","Drama"
"195990","Garden of Eden, The",1928,78,NA,7.9,46,"","Drama"
"195996","Gardens of Stone",1987,112,NA,6.5,887,"","Drama"
"195997","Gardien de la nuit",1986,100,NA,7.8,8,"","Drama"
"196002","Garibaldino al convento, Un",1942,83,NA,7.1,8,"","Drama"
"196004","Garment Jungle, The",1957,88,NA,6.5,31,"","Drama"
"196005","Garmento",2002,90,NA,5.9,16,"","Drama"
"196006","Garota dourada",1984,105,NA,5,7,"","Drama"
"196007","Garotas do ABC",2003,130,NA,7.8,26,"","Drama"
"196023","Gas, Food Lodging",1992,101,NA,6.5,937,"","Drama"
"196024","Gas-Oil",1955,92,NA,5.8,28,"","Drama"
"196025","Gas-s-s-s",1971,79,NA,3.4,130,"R","Drama"
"196029","Gaslight",1944,114,NA,7.6,2608,"","Drama"
"196031","Gasline",2001,16,NA,6.3,22,"","Drama"
"196034","Gasoline Rainbows",2000,76,NA,8,7,"","Drama"
"196036","Gaspard et Robinson",1990,93,NA,7.7,16,"","Drama"
"196041","Gaston's War",1997,120,NA,5.9,110,"","Drama"
"196042","Gasu ningen dai ichigo",1960,81,NA,5.7,40,"","Drama"
"196046","Gate to Heaven",2003,90,NA,5.5,28,"","Drama"
"196048","Gategutter",1949,77,NA,6.4,32,"","Drama"
"196049","Gatekeeper, The",2002,103,NA,6.4,84,"R","Drama"
"196051","Gates to Paradise",1968,89,NA,5.6,15,"","Drama"
"196052","Gateway",1938,75,NA,4.7,7,"","Drama"
"196053","Gathering of Eagles, A",1963,115,NA,5.9,148,"","Drama"
"196055","Gatica, el mono",1993,136,NA,6.6,66,"","Drama"
"196056","Gatling Gun, The",1973,93,NA,5.1,37,"","Drama"
"196057","Gator",1976,115,NA,5.4,325,"","Drama"
"196059","Gattaca",1997,101,36000000,7.6,26071,"PG-13","Drama"
"196061","Gatto a nove code, Il",1971,115,1000000,6.3,515,"","Drama"
"196067","Gattopardo, Il",1963,165,NA,7.7,1736,"","Drama"
"196069","Gau lung bing sat",2001,101,NA,6.4,48,"","Drama"
"196074","Gaudi Afternoon",2001,93,NA,6.4,423,"R","Drama"
"196077","Gauntlet, The",1977,109,5500000,6,2201,"","Drama"
"196079","Gav khuni",2003,96,NA,6.8,24,"","Drama"
"196083","Gay",2004,100,NA,2.6,33,"","Drama"
"196092","Gay Falcon, The",1941,67,NA,6.2,60,"","Drama"
"196098","Gay Sisters, The",1942,110,NA,6,70,"","Drama"
"196105","Gaz Bar Blues",2003,115,NA,7.1,198,"","Drama"
"196111","Gdy spadaja anioly",1959,21,NA,7.4,109,"","Drama"
"196114","GeGe",2001,90,NA,4.8,34,"","Drama"
"196116","Geboren in Absurdistan",1999,111,NA,6.6,67,"","Drama"
"196122","Gefangen",2004,96,NA,3.9,48,"","Drama"
"196123","Gege",2004,113,NA,7,6,"","Drama"
"196124","Gegen die Wand",2004,121,NA,8,2476,"","Drama"
"196127","Geheimnis der drei Dschunken, Das",1965,90,NA,5.8,11,"","Drama"
"196129","Geheimnis der schwarzen Witwe, Das",1963,107,NA,5.9,10,"","Drama"
"196130","Geheimnis, Das",1995,80,NA,7.6,7,"","Drama"
"196132","Geheimnisse in goldenen Nylons",1967,92,NA,5.5,15,"","Drama"
"196136","Geierwally, Die",1940,104,NA,5.6,17,"","Drama"
"196137","Geierwally, Die",1956,90,NA,4.4,12,"","Drama"
"196140","Gekido no showashi: Okinawa kessen",1971,149,NA,7.1,9,"","Drama"
"196141","Gekisatsu! Judo ken",1977,94,NA,5.1,20,"","Drama"
"196143","Gekko no sasayaki",1999,100,NA,7.4,130,"R","Drama"
"196150","Gembaku no ko",1952,97,NA,7.2,16,"","Drama"
"196151","Gemide",1999,102,NA,7.9,209,"","Drama"
"196153","Gemini - The Twin Stars",1988,110,NA,5.8,8,"","Drama"
"196154","Gemini Affair",1975,92,NA,5.8,11,"","Drama"
"196155","Gemsar",2002,85,NA,7.3,43,"","Drama"
"196167","Gene Krupa Story, The",1959,101,NA,6.7,79,"","Drama"
"196170","General Massacre",1973,90,NA,4.1,5,"","Drama"
"196173","General's Daughter, The",1999,116,60000000,6.1,11128,"R","Drama"
"196176","General, The",1998,124,NA,7.1,1598,"R","Drama"
"196177","Generala, La",1970,100,NA,6.3,16,"","Drama"
"196179","Generale della Rovere, Il",1959,129,NA,7.7,165,"","Drama"
"196184","Genesis",1986,105,NA,5.3,19,"","Drama"
"196185","Genesis",2001,80,NA,6,5,"","Drama"
"196188","Genesis and Catastrophe",2000,8,NA,5.7,39,"","Drama"
"196193","Genghis Khan",1965,124,NA,5.3,231,"","Drama"
"196195","Gengszterfilm",1999,110,NA,5.4,18,"","Drama"
"196203","Genou de Claire, Le",1970,105,NA,7.5,598,"","Drama"
"196205","Genroku chushingura",1941,241,NA,7.5,162,"","Drama"
"196206","Gens normaux n'ont rien d'exceptionnel, Les",1993,100,NA,7,82,"","Drama"
"196207","Gens qui s'aiment, Les",2000,90,NA,6.6,34,"","Drama"
"196212","Gente di rispetto",1975,113,NA,5.3,22,"","Drama"
"196215","Gentle Giant",1967,95,NA,5.7,29,"","Drama"
"196216","Gentle Gunman, The",1952,86,NA,6.8,20,"","Drama"
"196217","Gentle Rain, The",1966,110,NA,4.7,19,"","Drama"
"196218","Gentle Savage",1973,85,NA,5.7,12,"","Drama"
"196219","Gentle Sex, The",1943,92,NA,6.4,28,"","Drama"
"196221","Gentleman After Dark, A",1942,74,NA,5.8,8,"","Drama"
"196223","Gentleman Jim",1942,104,NA,7.6,404,"","Drama"
"196230","Gentleman's Agreement",1947,118,2000000,7.4,1173,"","Drama"
"196231","Gentleman's Bet",1995,90,NA,5.8,29,"R","Drama"
"196232","Gentleman's Fate",1931,90,NA,6,12,"","Drama"
"196233","Gentleman's Game, A",2001,112,NA,6.4,197,"R","Drama"
"196234","Gentlemen Are Born",1934,75,NA,4.6,7,"","Drama"
"196248","Geordie",1955,93,NA,7.3,137,"","Drama"
"196257","George Washington",2000,94,NA,7.4,1000,"","Drama"
"196267","George's Island",1989,89,NA,5.5,30,"","Drama"
"196271","Georgia",1995,115,NA,6.1,809,"R","Drama"
"196272","Georgia, Georgia",1972,91,NA,4.6,16,"","Drama"
"196273","Georgica",1998,109,NA,8.2,46,"","Drama"
"196277","Geraftaar",1985,167,NA,5.4,18,"","Drama"
"196282","Germania anno zero",1948,71,NA,8.1,516,"","Drama"
"196285","Germicide",1976,105,NA,5.5,6,"","Drama"
"196286","Germinal",1963,110,NA,7.3,17,"","Drama"
"196287","Germinal",1993,159,NA,7,666,"","Drama"
"196289","Geroite na Shipka",1955,137,NA,8.7,9,"","Drama"
"196292","Geronimo: An American Legend",1993,115,50000000,6.2,1233,"","Drama"
"196294","Gerry",2002,105,3500000,6,1944,"R","Drama"
"196295","Gertrud",1964,115,NA,7.4,346,"","Drama"
"196296","Gertrudis Bocanegra",1992,98,NA,6.4,6,"","Drama"
"196297","Gervaise",1956,116,NA,7.4,73,"","Drama"
"196301","Geschichte vom weinenden Kamel, Die",2003,90,NA,7.4,855,"PG","Drama"
"196302","Geschichten aus dem Wienerwald",1961,120,NA,5.6,7,"","Drama"
"196305","Geschlecht in Fesseln - Die Sexualnot der Gefangenen",1928,107,NA,7.5,11,"","Drama"
"196307","Geschwister - Kardesler",1997,82,NA,6.3,5,"","Drama"
"196309","Gespenster",2005,85,NA,7.7,23,"","Drama"
"196310","Gestehen Sie, Dr. Corda!",1958,98,NA,4.6,5,"","Drama"
"196315","Get Carter",1971,112,NA,7.4,3184,"","Drama"
"196316","Get Carter",2000,104,40000000,4.7,4927,"R","Drama"
"196327","Get Shorty",1995,105,30250000,7,14825,"R","Drama"
"196328","Get Up!",2003,112,NA,7.1,30,"","Drama"
"196329","Get Well Soon",2001,95,NA,5,257,"R","Drama"
"196330","Get Your Stuff",2000,93,NA,5.1,89,"","Drama"
"196334","Get on the Bus",1996,120,2400000,6.6,1142,"R","Drama"
"196337","Get-Away, The",1941,89,NA,6.8,35,"","Drama"
"196338","Getaway, The",1972,122,3352254,7.3,2843,"","Drama"
"196339","Getaway, The",1994,116,NA,5.5,3111,"R","Drama"
"196340","Geteilte Himmel, Der",1964,110,NA,6.4,34,"","Drama"
"196343","Gettin' Grown",2004,74,NA,8.4,5,"","Drama"
"196344","Gettin' Square",2003,100,NA,6.8,301,"","Drama"
"196354","Getting It Right",1989,102,NA,6.5,197,"","Drama"
"196357","Getting Out",2002,22,NA,8.2,6,"","Drama"
"196358","Getting Out of Rhode Island",2003,103,NA,8.4,14,"","Drama"
"196360","Getting Straight",1970,124,NA,6,159,"","Drama"
"196361","Getting Together",1976,110,NA,3.6,24,"","Drama"
"196364","Getting of Wisdom, The",1978,101,NA,6.5,70,"","Drama"
"196365","Getting to Know You",1999,96,NA,7,185,"","Drama"
"196366","Gettysburg",1993,259,25000000,7.5,5191,"","Drama"
"196367","Geu seome gago shibda",1993,102,NA,6.8,44,"","Drama"
"196369","Geuddae geusaramdeul",2005,102,NA,6.8,17,"","Drama"
"196370","Geudeulmanui sesang",1996,106,NA,4,5,"","Drama"
"196371","Geuhurodo olaetdongan",1989,112,NA,7.6,6,"","Drama"
"196374","Gezin van Paemel, Het",1986,90,NA,6.9,64,"","Drama"
"196376","Ggeol Deok-swi",1989,94,NA,1.8,5,"","Drama"
"196377","Ggobangdongne saramdeul",1982,108,NA,2.4,5,"","Drama"
"196378","Ggotip",1996,89,NA,8.1,35,"","Drama"
"196379","Ggotpineun bomi omyeon",2004,128,NA,7.4,43,"","Drama"
"196382","Ghare-Baire",1984,140,NA,7.8,95,"","Drama"
"196388","Ghost",1990,128,22000000,6.8,19005,"","Drama"
"196396","Ghost Comes Home, The",1940,79,NA,6,32,"","Drama"
"196401","Ghost Dog: The Way of the Samurai",1999,116,NA,7.5,13542,"R","Drama"
"196410","Ghost Rock",2003,101,NA,3.4,97,"R","Drama"
"196413","Ghost Ship, The",1943,69,NA,6.5,163,"","Drama"
"196415","Ghost Story",1981,110,NA,6,967,"","Drama"
"196424","Ghost World",2000,111,7000000,7.8,17976,"R","Drama"
"196427","Ghost and the Darkness, The",1996,109,55000000,6.4,8360,"R","Drama"
"196448","Ghosthunter",2000,20,NA,5.7,23,"","Drama"
"196450","Ghostkeeper",1981,88,NA,3.8,31,"","Drama"
"196457","Ghosts of Hamilton Street",2003,106,NA,5.8,49,"","Drama"
"196459","Ghosts of Mississippi",1996,130,36000000,6.4,2268,"","Drama"
"196462","Ghosts... of the Civil Dead",1988,93,NA,7.1,208,"","Drama"
"196470","Ghulam-E-Musthafa",1997,162,NA,6,13,"","Drama"
"196476","Giant",1956,201,5400000,7.5,4210,"","Drama"
"196482","Giant of Thunder Mountain, The",1991,88,NA,5.5,43,"","Drama"
"196484","Giardini dell'Eden, I",1998,95,4000000,6.8,17,"","Drama"
"196485","Giardino dei Finzi-Contini, Il",1970,94,NA,7.7,742,"","Drama"
"196486","Gibel Otrara",1991,176,NA,8,19,"","Drama"
"196488","Gideon",1999,96,NA,6.9,328,"","Drama"
"196489","Gideon's Day",1958,118,NA,6.6,52,"","Drama"
"196493","Gierig",1999,92,NA,5.4,14,"","Drama"
"196494","Gifle, La",1974,104,NA,5.9,163,"","Drama"
"196495","Gift",1966,96,NA,7.6,5,"","Drama"
"196496","Gift Horse",1952,100,NA,6.1,35,"","Drama"
"196498","Gift for Heidi, A",1958,71,NA,5.3,8,"","Drama"
"196500","Gift of Love, The",1958,105,NA,5.7,57,"","Drama"
"196501","Gift of the Magi, The",1980,16,NA,6.2,7,"","Drama"
"196503","Gift, The",2000,111,10000000,6.8,12440,"R","Drama"
"196504","Giftas",1955,74,NA,3.3,10,"","Drama"
"196506","Gig, The",1985,92,NA,6.6,56,"","Drama"
"196517","Gilda",1946,110,NA,7.6,2525,"","Drama"
"196524","Giliap",1975,135,NA,4.6,118,"","Drama"
"196525","Gilsoddeum",1986,100,NA,4.3,9,"","Drama"
"196526","Gimaghin sanaedeul",1998,107,NA,6.9,9,"","Drama"
"196530","Gina",1975,95,NA,5.9,69,"","Drama"
"196531","Gina, an Actress, Age 29",2001,22,NA,6.7,27,"","Drama"
"196533","Ginevra",1992,142,NA,8.6,5,"","Drama"
"196536","Ginger",1971,102,NA,3,67,"","Drama"
"196543","Ginger in the Morning",1974,90,NA,4.9,24,"","Drama"
"196546","Ginostra",2002,135,NA,4.6,170,"","Drama"
"196547","Ginrei no hate",1947,89,NA,7.9,16,"","Drama"
"196549","Giocattolo, Il",1979,118,NA,6.1,37,"","Drama"
"196550","Gion bayashi",1953,90,NA,7.7,85,"","Drama"
"196551","Gion no shimai",1936,95,NA,8.1,163,"","Drama"
"196552","Giordano Bruno",1973,114,NA,6.8,42,"","Drama"
"196554","Giornata balorda, La",1960,84,NA,8.7,7,"","Drama"
"196555","Giornata particolare, Una",1977,110,NA,7.5,847,"","Drama"
"196556","Giorni",2001,90,NA,6.7,100,"","Drama"
"196557","Giorni d'amore",1954,98,NA,6.5,13,"","Drama"
"196558","Giorni del commissario Ambrosio, I",1988,96,NA,6.3,6,"","Drama"
"196559","Giorni dell'amore e dell'odio, I",2001,100,NA,3.5,6,"","Drama"
"196564","Giorno della civetta, Il",1968,112,NA,6.8,46,"","Drama"
"196566","Giorno in pretura, Un",1954,88,NA,7.1,29,"","Drama"
"196567","Giorno prima, Il",1987,106,NA,5.8,40,"","Drama"
"196568","Giovane Toscanini, Il",1988,109,14000000,4.7,36,"","Drama"
"196570","Giovani",2003,90,NA,5,5,"","Drama"
"196575","Giovanni Falcone",1993,124,NA,6.7,23,"","Drama"
"196577","Giovedi, Il",1963,100,NA,7.8,15,"","Drama"
"196578","Gipgo puleun bam",1985,93,NA,5.5,6,"","Drama"
"196579","Gipusu",2001,83,NA,6.3,6,"","Drama"
"196581","Girafot",2001,115,NA,8.6,22,"","Drama"
"196582","Girasoli, I",1970,98,NA,6.6,150,"","Drama"
"196584","Girl",1998,99,NA,5.7,896,"","Drama"
"196585","Girl 6",1996,108,12000000,5,1453,"R","Drama"
"196594","Girl Gang",1954,63,NA,4.7,21,"","Drama"
"196595","Girl Gets Moe, The",1997,102,NA,4.5,60,"R","Drama"
"196600","Girl He Left Behind, The",1956,103,NA,5.8,25,"","Drama"
"196602","Girl Is a Girl, A",1999,87,NA,5.8,63,"","Drama"
"196606","Girl Must Live, A",1939,92,NA,5.9,10,"","Drama"
"196607","Girl Named Tamiko, A",1963,110,NA,5.3,16,"","Drama"
"196615","Girl Stroke Boy",1971,86,NA,3,7,"","Drama"
"196620","Girl Who Had Everything, The",1953,69,NA,4.8,55,"","Drama"
"196622","Girl Who Stayed at Home, The",1919,60,NA,7.4,12,"","Drama"
"196625","Girl and Her Trust, The",1912,17,NA,7.6,125,"","Drama"
"196626","Girl and the Gambler, The",1939,63,NA,4.1,6,"","Drama"
"196627","Girl for Girl",2000,91,NA,3.5,35,"R","Drama"
"196628","Girl from 10th Avenue, The",1935,69,NA,6.6,121,"","Drama"
"196633","Girl from Petrovka, The",1974,103,NA,5,52,"","Drama"
"196635","Girl in Black Stockings, The",1957,73,NA,6.1,41,"","Drama"
"196638","Girl in Gold Boots",1969,94,NA,1.8,913,"","Drama"
"196639","Girl in Lovers Lane, The",1959,78,NA,2.1,98,"","Drama"
"196640","Girl in Room 13",1961,79,NA,6.5,6,"","Drama"
"196641","Girl in White, The",1952,92,NA,6,33,"","Drama"
"196642","Girl in a Swing, The",1988,119,NA,4.5,166,"","Drama"
